raw_id,name,night,frame_type,dpr_type,start_reduce_date,end_reduce_date,drs_status,frame_group,tpl_nexp,tpl_expno,target,do_catg,qc,ins_mode
,,,,,,,,,,,,,,
85435,NIRPS.2023-03-04T08:09:39.219.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 18:34:04.551578,2023-05-14 18:35:33.919137,0,2023-03-04T07:18:08_21276,6,6,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
85431,NIRPS.2023-03-04T07:18:33.934.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 18:34:04.534108,2023-05-14 18:35:31.526069,0,2023-03-04T07:18:08_21272,6,1,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
85434,NIRPS.2023-03-04T07:59:26.162.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 18:34:04.535628,2023-05-14 18:35:32.592677,0,2023-03-04T07:18:08_21275,6,5,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106949,NIRPS.2023-05-31T05:49:21.872.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:28:59.597205,2023-06-01 10:30:51.279003,0,2023-05-31T05:38:44_505,6,2,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106953,NIRPS.2023-05-31T06:30:14.093.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:28:59.628714,2023-06-01 10:30:51.839112,0,2023-05-31T05:38:44_509,6,6,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106952,NIRPS.2023-05-31T06:20:01.038.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:28:59.633992,2023-06-01 10:30:48.286542,0,2023-05-31T05:38:44_508,6,5,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106945,NIRPS.2023-05-31T05:04:29.967.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:40:47.723358,2023-06-01 10:42:32.206793,0,2023-05-31T04:33:25_501,6,4,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
106944,NIRPS.2023-05-31T04:54:16.911.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:40:47.731217,2023-06-01 10:42:31.884074,0,2023-05-31T04:33:25_500,6,3,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
106943,NIRPS.2023-05-31T04:44:03.856.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:40:47.702984,2023-06-01 10:42:30.661303,0,2023-05-31T04:33:25_499,6,2,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
106947,NIRPS.2023-05-31T05:24:56.078.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:40:47.735927,2023-06-01 10:42:30.066858,0,2023-05-31T04:33:25_503,6,6,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113352,NIRPS.2023-01-24T03:51:48.395.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:59:43.801755,2023-06-24 23:01:25.836035,0,2023-01-24T03:10:26_164,6,5,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113350,NIRPS.2023-01-24T03:41:35.337.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:59:43.805882,2023-06-24 23:01:25.381203,0,2023-01-24T03:10:26_162,6,4,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113353,NIRPS.2023-01-24T04:02:01.441.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:59:43.743549,2023-06-24 23:01:24.448752,0,2023-01-24T03:10:26_165,6,6,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113354,NIRPS.2023-01-24T04:02:01.451.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:59:43.789164,2023-06-24 23:01:24.566919,0,2023-01-24T03:10:26_166,6,6,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113349,NIRPS.2023-01-24T03:41:35.327.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:59:43.796316,2023-06-24 23:01:21.638785,0,2023-01-24T03:10:26_161,6,4,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
