,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
19,7,1.02891,5.946e-05,1,"Emission line wavelength(s) in region: [(1.02894, 'OH Line')] micron"
20,7,1.02985,6.771e-05,1,"Emission line wavelength(s) in region: [(1.02987, 'OH Line'), (1.0299, 'OH Line')] micron"
21,8,1.03992,3.348e-05,1,"Emission line wavelength(s) in region: [(1.03994, 'OH Line')] micron"
22,9,1.04209,7.075e-05,1,"Emission line wavelength(s) in region: [(1.04211, 'OH Line'), (1.04214, 'OH Line')] micron"
23,9,1.04714,7.446e-05,0,"Emission line wavelength(s) in region: [(1.04716, 'OH Line'), (1.0472, 'OH Line')] micron"
24,10,1.04531,5.349e-05,0,"Emission line wavelength(s) in region: [(1.04534, 'OH Line')] micron"
25,10,1.04714,8.75e-05,0,"Emission line wavelength(s) in region: [(1.04716, 'OH Line'), (1.04721, 'OH Line')] micron"
26,10,1.05116,9.685e-05,0,"Emission line wavelength(s) in region: [(1.05121, 'OH Line')] micron"
27,10,1.05272,3.063e-05,0,"Emission line wavelength(s) in region: [(1.05273, 'OH Line')] micron"
28,11,1.0575,3.384e-05,0,"Emission line wavelength(s) in region: [(1.05752, 'OH Line')] micron"
29,11,1.05882,3.257e-05,0,"Emission line wavelength(s) in region: [(1.05883, 'OH Line')] micron"
30,11,1.0589,2.527e-05,0,"Emission line wavelength(s) in region: [(1.05891, 'OH Line')] micron"
31,11,1.06234,4.747e-05,1,"Emission line wavelength(s) in region: [(1.06236, 'Unknown Species')] micron"
32,13,1.07232,4.289e-05,0,"Emission line wavelength(s) in region: [(1.07234, 'OH Line')] micron"
33,13,1.07314,7.251e-05,1,"Emission line wavelength(s) in region: [(1.07318, 'OH Line')] micron"
34,13,1.07459,4.027e-05,1,"Emission line wavelength(s) in region: [(1.07462, 'OH Line')] micron"
35,13,1.07537,5.712e-05,1,"Emission line wavelength(s) in region: [(1.07539, 'OH Line')] micron"
36,13,1.07749,3.627e-05,1,"Emission line wavelength(s) in region: [(1.07751, 'OH Line')] micron"
37,14,1.07748,4.588e-05,0,"Emission line wavelength(s) in region: [(1.07751, 'OH Line')] micron"
38,14,1.08319,6.877e-05,1,"Emission line wavelength(s) in region: [(1.08321, 'OH Line'), (1.08324, 'OH Line')] micron"
39,14,1.0834,5.394e-05,1,"Emission line wavelength(s) in region: [(1.08343, 'OH Line')] micron"
40,14,1.08443,7.626e-05,1,"Emission line wavelength(s) in region: [(1.08445, 'OH Line'), (1.08449, 'OH Line')] micron"
41,14,1.08469,0.00011322,0,"Emission line wavelength(s) in region: [(1.08474, 'OH Line'), (1.08475, 'OH Line')] micron"
42,15,1.08339,5.655e-05,0,"Emission line wavelength(s) in region: [(1.08342, 'OH Line')] micron"
43,15,1.08444,6.853e-05,0,"Emission line wavelength(s) in region: [(1.08445, 'OH Line'), (1.08449, 'OH Line')] micron"
44,15,1.09261,8.025e-05,1,"Emission line wavelength(s) in region: [(1.09265, 'OH Line')] micron"
45,15,1.09511,4.083e-05,1,"Emission line wavelength(s) in region: [(1.09513, 'OH Line')] micron"
46,16,1.09511,5.367e-05,1,"Emission line wavelength(s) in region: [(1.09514, 'OH Line')] micron"
